LB,SMILES,Exp
1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],88.13
2,CN(C)C1=CC=C(C=C1)C#N,97.12
3,CCOC(=O)c1ccc(cc1)N(C)C,102.32
4,CN(C)C1=CC=CC=C1,119.16
5,CC1=CC=C(C=C1)N(C)C,121.17
6,CCN(CC)CC,145.87
7,CN(C)C1CCCCC1,147.85
8,CN1CCCC1,149.51
9,CN(C)C,149.53
10,C1CN2CCN1CC2,152.76
11,C1CN2CCC1CC2,160.01
12,CC(C)(C)C1=CC=CC=N1,90.1
13,C1=CC=NC(=C1)C(F)(F)F,92.46
14,C1=CC=NC(=C1)Br,105.37
15,C1=CC=NC(=C1)C#N,106.2
16,C1=CC=NC(=C1)Cl,106.28
17,C1=CC=NC(=C1)F,106.76
18,CC1=NC(=CC=C1)C,107.73
19,CN(C)C1=CC=CC=N1,107.93
20,CC1=CC(=NC(=C1)C)C,111.03
21,C1=CC=C(C=C1)C2=CC=CC=N2,113.35
22,COC1=CC=CC=N1,119.73
23,C1=CC(=CN=C1)C#N,120.36
24,C1=CN=CN=C1,123.02
25,C1=CN=CC=C1C#N,123.27
26,C=CC1=CC=CC=N1,125.55
27,C1=CN=CC=C1C(F)(F)F,125.75
28,C1=CC(=CN=C1)C(F)(F)F,126.44
29,C1=CC(=CN=C1)Br,128.08
30,CC(C)C1=CC=CC=N1,128.67
31,C1=CC(=CN=C1)Cl,128.79
32,CCCC1=CC=CC=N1,129.62
33,CC(=O)C1=CN=CC=C1,129.63
34,COC(=O)C1=CN=CC=C1,129.71
35,CCC1=CC=CC=N1,130.1
36,COC(=O)C1=CC=NC=C1,130.98
37,CC(=O)C1=CC=NC=C1,131.29
38,CC1=CC=CC=N1,133.44
39,C1=CC=C(C=C1)C2=CN=CC=C2,136.6
40,COC1=CN=CC=C1,137.67
41,C1=CC=NC=C1,138.08
42,C1=CC=C(C=C1)C2=CC=NC=C2,139.5
43,CC1=CN=CC=C1,140.93
44,CC(C)(C)C1=CC=NC=C1,143.93
45,CC1=CC=NC=C1,144.17
46,COC1=CC=NC=C1,145.27
47,CN(C)C1=CN=CC=C1,146.68
48,C1COCCN1C2=CC=NC=C2,154.47
49,CN(C)C1=CC=NC=C1,161.55
50,C1=CSC=N1,128.35
51,C1CCC2=NCCCN2CC1,169.36
52,C(C#N)Cl,54
53,COCC#N,62.07
54,CSCC#N,62.68
55,C(CCl)C#N,63.09
56,CC1=CC=CC=C1C#N,64.38
57,CSC#N,65.3
58,C1=CC=C(C=C1)C#N,65.44
59,C1=CC=C(C=C1)CC#N,66.61
60,CC1=CC=C(C=C1)C#N,68.05
61,COC1=CC=C(C=C1)C#N,69.11
62,CC(C)C#N,70.07
63,CC#N,70.39
64,C1C2CC3CC1CC(C2)(C3)C#N,70.5
65,CCCCC#N,70.75
66,CC(C)(C)C#N,70.92
67,CCC#N,70.95
68,C1CCC(CC1)C#N,71.16
69,CCCC#N,71.18
70,C1CC1C#N,73.17
71,CN(C)C#N,87.23
72,C1CCN(CC1)C#N,88.15
73,CCOCCC#N,74.79
74,C1COCO1,78.63
75,C1COCCO1,84.09
76,COCCOC,84.67
77,CC(C)OC(C)C,86.61
78,CCCCOCCCC,88.57
79,CCOCC,88.77
80,CCCOCCC,89.42
81,COC,93.55
82,C1CCOCC1,95.36
83,C1CCCOCC1,97.78
84,C1CCOC1,100.4
85,CC1CCOC1,102.25
86,CC1CCCO1,102.83
87,C1=CC(=CC=C1C=O)[N+](=O)[O-],72.32
88,C1=CC(=CC=C1C=O)C#N,75.06
89,CC=O,79.57
90,C1=CC(=CC=C1C=O)Cl,83.51
91,C1=CC=C(C=C1)C=O,84.88
92,C1=CC(=CC=C1C=O)F,86.14
93,CC1=CC=C(C=C1)C=O,89.62
94,COC1=CC=C(C=C1)C=O,94.81
95,CN(C)C1=CC=C(C=C1)C=O,113.21
96,CC(C)(C)C(=O)C(C)(C)C,41.32
97,CC(=O)CCl,67.49
98,CC(=O)COC1=CC=CC=C1,70.24
99,CC(=O)COC,77.46
100,CC(C)C(=O)C(C)C,78.07
101,CC(=O)CC1=CC=CC=C1,78.65
102,CCCCC(=O)CCCC,80.7
103,CCC(=O)CC,82.28
104,CC(=O)C(C)(C)C,82.83
105,CCCC(=O)CCC,83.28
106,CC(=O)CC(C)(C)C,83.32
107,CCC(C)C(C)=O,83.73
108,CCCCCCCCCC(C)=O,84.15
109,CCCCCCC(C)=O,84.3
110,CCCCC(C)C(C)=O,84.47
111,CCCCC(C)=O,84.6
112,CC(C)CCC(C)=O,84.84
113,CC(C)C(C)=O,84.84
114,CC(C)CC(C)=O,85.09
115,CC(=O)C12CC3CC(CC(C3)C1)C2,85.59
116,CC(C)=O,86.03
117,CCC(C)=O,86.07
118,CCCC(C)=O,86.19
119,CC(=O)C1CC1,93.2
120,O=C(C1CC1)C2CC2,97.48
121,CC1CCCC(C)(C)C1=O,65.95
122,O=C1CCC1,80.3
123,CC1CCC(C)C1=O,80.64
124,CC1(C)CCCCC1=O,83.93
125,CC1CC(=O)C(C)(C)C1,85.09
126,CC1(C)CCCC1=O,85.25
127,CC1CCCCC1=O,86.03
128,O=C1CCCCC1,86.36
129,CC1CC(=O)CC(C)(C)C1,86.97
130,O=C1CC2CCC1C2,87.22
131,CC1CCCC1=O,87.22
132,CC1CCCC(=O)C1,87.3
133,O=C1CCCC1,87.44
134,CC1CC(C)(C)CC1=O,87.5
135,CC1CCC(=O)CC1,87.51
136,O=C1CCCCCC1,87.57
137,CC1CCC(=O)C1C,87.6
138,O=C1CCC2CCC1C2,87.71
139,CC1(C)C2(C)CCC1(CC2=O)[N+]([O-])=O,73.65
140,CC1(C)C2(C)CCC1(CC2=O)C#N,74.99
141,CC1(C)C2(C)CCC1(Br)CC2=O,77.73
142,CC1(C)C2(C)CCC1(Cl)CC2=O,78.2
144,CC(=O)OC12CCC(C)(C(=O)C1)C2(C)C,81.17
145,COC(=O)C12CCC(C)(C(=O)C1)C2(C)C,81.71
146,CC1(C)C2(C)CCC1(CC2=O)C#C,81.96
147,COC12CCC(C)(C(=O)C1)C2(C)C,82.55
148,CC1(C)C2(C)CCC1(CC2=O)C1=CC=CC=C1,84.59
149,CC1(C)C2(C)CCC1(CC2=O)C=C,85.37
150,CC1(C)C2CCC1(C)C(=O)C2,87.23
151,CC12CCC(C)(C(=O)C1)C2(C)C,87.48
152,CCC12CCC(C)(C(=O)C1)C2(C)C,88.19
153,CCCC(=O)C1=CC(=CC=C1)[N+]([O-])=O,72.78
154,CC(=O)C1=CC(=CC=C1)[N+]([O-])=O,75.1
155,CC(=O)C1=CC=C(C=C1)[N+]([O-])=O,77.07
156,CC(=O)C1=CC=C(C=C1)C#N,77.08
157,O=C(CC1=CC=CC=C1)C1=CC=CC=C1,77.1
158,CCC(=O)C1=CC=C(Br)C=C1,78.29
159,CCC(=O)C1=CC=C(Cl)C=C1,78.74
160,COC(=O)C1=CC=CC(=C1)C(C)=O,78.8
161,CCC(=O)C1=CC=CC=C1,80.31
162,C1=CC=C(C=C1)C(=O)CCCCl,80.53
163,CC(=O)C1=CC=C(C=C1)C(C)=O,80.58
164,CCCC(=O)C1=CC=CC=C1,82.56
165,COC1=CC=CC(=C1)C(C)=O,82.68
166,CC(=O)C1=CC=C(Cl)C=C1,83.03
167,CC(=O)C1=CC=C(Br)C=C1,83.09
168,CC(=O)C1=CC=CC=C1,84.52
169,CCCC(=O)C1=CC=C(C=C1)C,85.02
170,CC(=O)C1=CC(C)=CC=C1,86.35
171,CC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,87.03
172,CC(=O)C1=CC=C(C)C=C1,87.82
173,CCC(=O)C1=CC=C(OC)C=C1,88.17
174,CCCC(=O)C1=CC=C(OC)C=C1,90.16
175,COC1=CC=C(C=C1)C(C)=O,93.01
176,CN(C)C1=CC=C(C=C1)C(C)=O,108.84
177,CC1(CC(C(=O)C=C1)(C)C)C,91.04
178,CC1CC(C=CC1=O)(C)C,91.46
179,C1CC=CC(=O)C1,91.71
180,CC1CCC(=O)C=C1,92.42
181,CC1(CCC(=O)C=C1)C,94.1
182,CC1=CCC(CC1=O)C(C)C,94.94
183,CC1=CCCCC1=O,94.94
184,CC1CC=C(C)C(=O)C1,95.35
185,CC1=CC(CCC1=O)(C)C,97.45
186,CC1=CC(=O)CCC1,99.54
187,CC1CC(=CC(=O)C1)C,100.37
188,CC1(C)CC(=O)C=C(C1)C#N,74.46
189,COC(=O)C1=CC(=O)CC(C)(C)C1,82.55
190,CC1(C)CC(Br)=CC(=O)C1,87.28
191,CC1(C)CC(Cl)=CC(=O)C1,87.87
192,CC1(C)CC(=O)C=C(CC#N)C1,89.71
193,CC1(C)CC(=O)C=C(C1)C1=CC=C(C=C1)[N+]([O-])=O,90.29
194,CC1(C)CC(=O)C=C(C1)C1=CC=C(C=C1)C#N,92.2
195,CCOC(=O)CC1=CC(=O)CC(C)(C)C1,93.5
196,CC1(C)CC=CC(=O)C1,93.58
197,CC1(C)CC(=O)C=C(C1)OC(=O)C1=CC=CC=C1,93.67
198,CC1(C)CC(=O)C=C(C1)C1=CC=C(Br)C=C1,94.87
199,CC(=O)OC1=CC(=O)CC(C)(C)C1,95.11
200,CC1(C)CC(=O)C=C(C1)C1=CC=C(Cl)C=C1,95.41
201,CCC(=O)CC1=CC(=O)CC(C)(C)C1,95.44
202,CC1(C)CC(=O)C=C(C1)C1=CC=C(F)C=C1,96.06
203,CC1(C)CC(=O)C=C(C1)C1=CC=CC=C1,96.48
204,CC1(C)CC(=O)C=C(C1)C1=CC=C(C=C1)C1=CC=CC=C1,97.16
205,CC1=CC=C(C=C1)C1=CC(=O)CC(C)(C)C1,98.79
206,COC1=CC=C(C=C1)C1=CC(=O)CC(C)(C)C1,100.44
207,CC1=CC(=O)CC(C)(C)C1,100.56
208,CCSC1=CC(=O)CC(C)(C)C1,106.64
209,COC1=CC(=O)CC(C)(C)C1,109.89
210,CCOC1=CC(=O)CC(C)(C)C1,111.25
211,CC1(C)CC(=O)C=C(C1)N(C1=CC=CC=C1)C1=CC=CC=C1,130.75
212,CC1(C)CC(=O)C=C(C1)N(CC1=CC=CC=C1)CC1=CC=CC=C1,132.85
213,CN(C1=CC(=O)CC(C)(C)C1)C1=CC=CC=C1,137.32
214,CC1(C)CC(=O)C=C(C1)N1CCOCC1,138.06
215,CC1COCC(C)N1C1=CC(=O)CC(C)(C)C1,138.9
216,CC1(CC(=CC(=O)C1)N(C)CC2=CC=CC=C2)C,139.11
217,CC1(C)CC(=O)C=C(C1)N1CCSCC1,139.25
218,CN1CCN(CC1)C2=CC(=O)CC(C)(C)C2,139.6
219,CCN(Cc1ccccc1)C2=CC(=O)CC(C)(C)C2,140.45
220,CN(C)C1=CC(=O)CC(C)(C)C1,142.43
221,CC1CC(C)CN(C1)C1=CC(=O)CC(C)(C)C1,142.51
222,CC1(C)CC(=O)C=C(C1)N1CCCCCC1,142.76
223,CC1(C)CC(=O)C=C(C1)N1CCCCC1,144.15
224,CC1(C)CC(=O)C=C(C1)N1CCCC1,144.74
225,CCN(CC)C1=CC(=O)CC(C)(C)C1,145.05
226,CC1(C)CC(=O)C=C(C1)N1CCC1,146
227,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,72.86
228,O=C1C2=CC=CC=C2C2=C1C=CC=C2,77.11
229,CC1(C)CCC2=C(C=CC=C2)C1=O,79.7
230,C1CC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)C1,80.44
231,CC(C)(C)C(=O)C1=CC=CC=C1,80.7
232,[O-][N+](=O)c1ccc(cc1)C(=O)\C=C\c2sccc2,82.84
233,Clc1ccc(cc1)C(=O)\C=C\c2sccc2,87.77
234,O=C(\C=C\c1sccc1)c2ccccc2,89.73
235,O=C1CCCC2=C1C=CC=C2,89.98
236,COC1=CC2=C(CCCC2=O)C=C1,90.01
237,COc1ccc(cc1)C(=O)\C=C\c2sccc2,91.3
238,O=C1CCC2=CC=CC=C12,93.01
239,COC1=CC2=C(C=C1)C(=O)CCC2,98.2
240,CC1=CC(=O)C=C(O1)C,125.56
241,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,125.89
242,CN1N(C(=O)C=C1C)C1=CC=CC=C1,138.61
243,CCOC(=O)C1=CC(Br)=CC=C1,66
244,CCOC(=O)C1=CC=C(Br)C=C1,67.8
245,O=COC1=CC=CC=C1,67.84
246,COC(=O)C1=CC=CC=C1,69.4
247,CCOC(=O)CF,69.53
248,CCOC(=O)C1=CC(C)=CC=C1,71
249,CCOC(=O)C1=CC=CC=C1,71.2
250,CCOC(=O)C1=CC=C(C=C1)F,71.7
251,CCOC(=O)C1=CC=C(C=C1)C,73
252,CC1COC(=O)O1,74.19
253,CCOC(=O)C1=CC=C(C=C1)OC,74.7
254,C1COC(=O)O1,76.4
255,COC(=O)OC,77.63
256,COC=O,79.76
257,CCOC(=O)OCC,81.03
258,CCOC=O,81.17
259,COC(C)=O,82.79
260,COC(=O)C1CC1,84.96
261,O=C1CCCO1,85.13
262,CCOC(=O)C,85.55
263,CN(C)C(=O)C(Cl)(Cl)Cl,65.74
264,CN(C)C(=O)C(F)(F)F,71.59
265,CN(C)C(=O)Cl,82.2
266,CN(C)C(=O)C#N,84
267,CN(C)C(=O)OC,91.36
268,CCOC(=O)N(C)C,94.16
269,C1=CC=C(C=C1)N(C=O)C2=CC=CC=C2,102.45
270,CN(C)C(=O)C(C)(C)C,102.73
271,CN(C)C(=O)C1=CC=C(C=C1)[N+](=O)[O-],104.2
272,CN(C)C(=O)C1=CC=C(C=C1)C(F)(F)F,108.38
273,CN(C)C(=O)C1=CC=C(C=C1)Br,108.78
274,CN1CCN(C1=O)C,108.93
275,CN(C)C(=O)C1=CC=C(C=C1)F,110.08
276,CN(C=O)C1=CC=CC=C1,110.83
277,CN(C)C(=O)C1=CC=CC=C1,111.75
278,CC1=CC=C(C=C1)C(=O)N(C)C,112.7
279,CN(C)C(=O)C1=CC=C(C=C1)OC,113.19
280,CN(C)C(=O)N(C)C,118.62
281,CN(C)C(=O)C1=CC=C(C=C1)N(C)C,118.76
282,CN(C)C=O,120.49
283,CCC(=O)N(C)C,120.56
284,CN1CCCCCC1=O,121.42
285,CC(C)N1CCCC1=O,122.08
286,CN1CCCN(C)C1=O,122.13
287,CN(C)C(C)=O,122.14
288,CN1CCCC1=O,122.56
289,CCN(CC)C=O,123.2
290,CCN(CC)C(C)=O,123.61
291,O=CN1CCCCC1,124.16
292,CN1C=CC=CC1=O,126.94
293,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)N(=O)=O,118.34
294,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)C#N,120.83
295,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)C(F)(F)F,122.86
296,C[N+](C)(C)[N-]C(=O)C1=CC=C(Br)C=C1,123.14
