ids,y,LB,DFT_Rank,Pred,GNN_Rank
1_1,67.5481715,1,1.0,76.10142,1.0
1_2,61.7983265,1,3.0,59.174656,2.0
1_3,61.887593499999994,1,2.0,59.034554,3.0
10_1,149.76570399999997,10,1.0,123.86172,2.0
10_2,149.4585205,10,2.0,124.33945,1.0
100_1,72.880562,100,1.0,73.117676,1.0
101_1,69.897994,101,1.0,68.4872,1.0
102_1,76.53788349999999,102,1.0,69.24873,1.0
103_1,74.3219615,103,1.0,69.4387,1.0
104_1,75.322277,104,1.0,74.273735,1.0
105_1,75.7344805,105,1.0,68.08133,1.0
106_1,76.887075,106,1.0,73.63915,1.0
107_1,74.965209,107,1.0,77.895706,1.0
108_1,74.86018899999999,108,1.0,63.938217,1.0
109_1,76.367226,109,1.0,66.66177,1.0
11_1,156.54211949999998,11,1.0,125.960434,1.0
110_1,77.265147,110,1.0,68.47912,1.0
111_1,76.172939,111,1.0,71.26971,1.0
112_1,76.8109355,112,1.0,76.76657,1.0
113_1,75.731855,113,1.0,77.90345,1.0
114_1,75.752859,114,1.0,73.85293,1.0
115_1,78.8325705,115,1.0,67.67792,1.0
116_1,72.218936,116,1.0,69.661865,1.0
117_1,73.9858975,117,1.0,74.88913,1.0
118_1,75.695098,118,1.0,74.465096,1.0
119_1,82.6342945,119,1.0,72.2832,1.0
12_1,75.6609665,12,1.0,107.41794,1.0
120_1,69.593436,120,1.0,59.88424,1.0
121_1,76.614023,121,1.0,65.51117,1.0
122_1,66.65287599999999,122,1.0,66.945404,1.0
123_1,67.19897999999999,123,1.0,64.25889,1.0
124_1,78.4650005,124,1.0,69.87521,1.0
125_1,79.397053,125,1.0,69.390564,1.0
126_1,79.2841565,126,1.0,70.82107,1.0
127_1,78.352104,127,1.0,73.68982,1.0
128_1,77.29140199999999,128,1.0,70.22647,1.0
129_1,78.62515599999999,129,1.0,76.951256,1.0
13_1,78.4282435,13,1.0,68.11061,1.0
130_1,80.074432,130,1.0,70.16368,1.0
131_1,78.8010645,131,1.0,69.677986,1.0
132_1,75.369536,132,1.0,75.57416,1.0
133_1,77.1732545,133,1.0,66.33145,1.0
