LB,SMILES,Exp,DFT,Pred
1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],78.13,66.59638210844824,76.0657
2,CN(C)C1=CC=C(C=C1)C#N,87.12,76.07048057342988,78.65228
3,CCOC(=O)c1ccc(cc1)N(C)C,92.32,79.14979905400916,94.13439
4,CN(C)C1=CC=CC=C1,109.16,99.046295,86.05847
5,CC1=CC=C(C=C1)N(C)C,111.17,103.89559349999999,82.697975
6,CCN(CC)CC,135.87,120.9455905,95.22693
7,CN(C)C1CCCCC1,137.85,132.17747949999998,129.38744
8,CN1CCCC1,139.51,141.757929,133.90521
9,CN(C)C,139.53,141.31159399999999,122.112015
10,C1CN2CCN1CC2,142.76,149.62161619777063,124.123535
11,C1CN2CCC1CC2,150.01,156.54211949999998,125.960434
12,CC(C)(C)C1=CC=CC=N1,80.1,75.6609665,107.41794
13,C1=CC=NC(=C1)C(F)(F)F,82.46,78.4282435,68.11061
14,C1=CC=NC(=C1)Br,95.37,88.9775025,60.15628
15,C1=CC=NC(=C1)C#N,96.2,90.93349974525549,80.80056
16,C1=CC=NC(=C1)Cl,96.28,89.9646905,65.203964
17,C1=CC=NC(=C1)F,96.76,90.73921299999999,62.887524
18,CC1=NC(=CC=C1)C,97.73,96.84875149999999,101.6385
19,CN(C)C1=CC=CC=N1,97.93,100.25128982483692,99.16808
20,CC1=CC(=NC(=C1)C)C,101.03,103.5070195,104.43789
21,C1=CC=C(C=C1)C2=CC=CC=N2,103.35,105.78595349999999,96.3723
22,COC1=CC=CC=N1,109.73,112.6253809999995,89.10694
23,C1=CC(=CN=C1)C#N,110.36,103.76694399620966,106.76857
24,C1=CN=CN=C1,113.02,105.99364605536613,94.14398
25,C1=CN=CC=C1C#N,113.27,106.52371899935716,88.98045
26,C=CC1=CC=CC=N1,115.55,113.381525,88.489296
27,C1=CN=CC=C1C(F)(F)F,115.75,111.07896149999999,99.44047
28,C1=CC(=CN=C1)C(F)(F)F,116.44,110.4593435,90.268875
29,C1=CC(=CN=C1)Br,118.08,112.2551855,98.979576
30,CC(C)C1=CC=CC=N1,118.67,120.1474385,113.85625
31,C1=CC(=CN=C1)Cl,118.79,112.62538099999999,97.837906
32,CCCC1=CC=CC=N1,119.62,121.83300949999999,111.50202
33,CC(=O)C1=CN=CC=C1,119.63,116.6476469994211,120.07391
34,COC(=O)C1=CN=CC=C1,119.71,115.67883749977476,117.43763
35,CCC1=CC=CC=N1,120.1,120.55701650000002,114.11276
36,COC(=O)C1=CC=NC=C1,120.98,116.0595349999355,113.6754
37,CC(=O)C1=CC=NC=C1,121.29,116.77104547376342,111.483215
38,CC1=CC=CC=N1,123.44,122.07718100000001,110.95054
39,C1=CC=C(C=C1)C2=CN=CC=C2,126.6,124.57928249999999,117.929054
40,COC1=CN=CC=C1,127.67,124.39287199999997,116.25186
41,C1=CC=NC=C1,128.08,124.7578165,105.41644
42,C1=CC=C(C=C1)C2=CC=NC=C2,129.5,127.942548,117.67348
43,CC1=CN=CC=C1,130.93,128.06069549999998,123.921684
44,CC(C)(C)C1=CC=NC=C1,133.93,131.29531149999997,119.38197
45,CC1=CC=NC=C1,134.17,130.4814065,120.865555
46,COC1=CC=NC=C1,135.27,133.97332149999997,130.7299
47,CN(C)C1=CN=CC=C1,136.68,134.88167840332787,135.23067
48,C1COCCN1C2=CC=NC=C2,144.47,144.6433534999962,135.84981
49,CN(C)C1=CC=NC=C1,151.55,151.3935139999883,133.17314
50,C1=CSC=N1,118.35,111.65919699999999,75.004875
51,C1CCC2=NCCCN2CC1,159.36,163.12162249999997,105.315735
