Name,LB,SMI,Atomic_Symbol,DFT_BF3_Affinity,Atomic_Number,Degree,Free_SASA,Atomic_Charge,Radial_Charge_1,Radial_Charge_2,Radial_Charge_3,Radial_Charge_4,Radial_Charge_5,Radial_Charge_6,Radial_Charge_7,Radial_Charge_8,Radial_Charge_9,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nHetero,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n5Ring,n6Ring,nHRing,n5HRing,n6HRing,naRing,n6aRing,naHRing,n6aHRing,nARing,n5ARing,n6ARing,nAHRing,n5AHRing,n6AHRing,nFRing,nFARing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW,Exp_BF3_Affinity
1_N1,1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],N,67.5481765,7,3,5.076442706,-0.37765,-0.32889,-0.11919,0.04612,0.45443,0.51662,0,0,0,0,0,6,6,22,12,4,10,8,2,2,0,0,0,0,0,0,22,12,15,1,0,6,7,18,4,0,0,6,0,0,0,0,0,0.25,14.66666667,13.83565065,13.65466436,22.42680262,21.70980392,22.056,14.27061677,25.07669689,0.666666667,0.628893212,0.620666562,1.019400119,0.986809269,1.002545455,0.648664398,1.139849859,12.04,0.272727273,3,0,23.83193,12.90807,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.166666667,1.6608,47.4234,152.6960211,166.0742276,7.548828525,78.13
1_O1,1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],O,61.7983315,8,1,16.28399813,-0.25831,-0.19612,-0.18536,-0.14949,-0.07415,0.09184,-0.28582,-0.2736,0,0,0,6,6,22,12,4,10,8,2,2,0,0,0,0,0,0,22,12,15,1,0,6,7,18,4,0,0,6,0,0,0,0,0,0.25,14.66666667,13.83565065,13.65466436,22.42680262,21.70980392,22.056,14.27061677,25.07669689,0.666666667,0.628893212,0.620666562,1.019400119,0.986809269,1.002545455,0.648664398,1.139849859,12.04,0.272727273,3,0,23.83193,12.90807,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.166666667,1.6608,47.4234,152.6960211,166.0742276,7.548828525,78.13
1_O2,1,CN(C)C1=CC=C(C=C1)[N+](=O)[O-],O,61.8875985,8,1,16.39864031,-0.25831,-0.19612,-0.18536,-0.14949,-0.07415,0.09184,-0.28582,-0.2736,0,0,0,6,6,22,12,4,10,8,2,2,0,0,0,0,0,0,22,12,15,1,0,6,7,18,4,0,0,6,0,0,0,0,0,0.25,14.66666667,13.83565065,13.65466436,22.42680262,21.70980392,22.056,14.27061677,25.07669689,0.666666667,0.628893212,0.620666562,1.019400119,0.986809269,1.002545455,0.648664398,1.139849859,12.04,0.272727273,3,0,23.83193,12.90807,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.166666667,1.6608,47.4234,152.6960211,166.0742276,7.548828525,78.13
2_N1,2,CN(C)C1=CC=C(C=C1)C#N,N,76.2280795,7,3,4.923302996,-0.37766,-0.32931,-0.13063,-0.08628,0.09333,0.19244,0,0,0,0,0,6,6,21,11,2,10,9,2,0,0,0,0,0,0,0,21,11,14,0,1,6,7,17,3,1,0,5,1,0,0,0,0,0.222222222,13,12.17159271,13.22506615,20.76547706,20.01176471,20.256,14.31013772,23.65792474,0.619047619,0.579599653,0.629765055,0.988832241,0.952941176,0.964571429,0.68143513,1.126567845,11.02,0.285714286,2,0,23.89793,12.31207,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.090909091,1.62428,45.484,149.7750935,146.0843983,6.95639992,87.12
2_N2,2,CN(C)C1=CC=C(C=C1)C#N,N,65.896737,7,1,17.48328914,-0.19244,-0.09333,-0.04119,-0.12586,-0.07331,0.09184,-0.28582,-0.2736,0,0,0,6,6,21,11,2,10,9,2,0,0,0,0,0,0,0,21,11,14,0,1,6,7,17,3,1,0,5,1,0,0,0,0,0.222222222,13,12.17159271,13.22506615,20.76547706,20.01176471,20.256,14.31013772,23.65792474,0.619047619,0.579599653,0.629765055,0.988832241,0.952941176,0.964571429,0.68143513,1.126567845,11.02,0.285714286,2,0,23.89793,12.31207,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.090909091,1.62428,45.484,149.7750935,146.0843983,6.95639992,87.12
3_O1,3,CCOC(=O)c1ccc(cc1)N(C)C,O,27.763975,8,2,9.543102294,-0.46239,-0.03596,-0.11216,-0.12389,-0.07323,0.09184,-0.28582,-0.2736,0,0,0,6,6,29,14,3,15,11,1,2,0,0,0,0,0,0,29,14,22,1,0,6,7,25,4,0,1,5,1,2,0,0,0,0.363636364,17.33333333,16.08908501,17.2512703,28.98324836,27.83137255,28.228,18.60832036,32.82418275,0.597701149,0.554796035,0.59487139,0.999422357,0.959702502,0.97337931,0.641666219,1.131868371,14.03,0.206896552,3,0,31.075895,19.362105,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.214285714,1.9293,56.7255,193.5872162,193.1102787,6.658975128,92.32
3_O2,3,CCOC(=O)c1ccc(cc1)N(C)C,O,68.1520415,8,1,15.21360435,-0.24621,0.0914,-0.31124,-0.31367,-0.15276,0.09184,-0.28582,-0.2736,0,0,0,6,6,29,14,3,15,11,1,2,0,0,0,0,0,0,29,14,22,1,0,6,7,25,4,0,1,5,1,2,0,0,0,0.363636364,17.33333333,16.08908501,17.2512703,28.98324836,27.83137255,28.228,18.60832036,32.82418275,0.597701149,0.554796035,0.59487139,0.999422357,0.959702502,0.97337931,0.641666219,1.131868371,14.03,0.206896552,3,0,31.075895,19.362105,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.214285714,1.9293,56.7255,193.5872162,193.1102787,6.658975128,92.32
3_N1,3,CCOC(=O)c1ccc(cc1)N(C)C,N,79.2736595,7,3,5.134674731,-0.37766,-0.32935,-0.13158,-0.09386,0.09239,0.43,-0.27861,-0.18979,-0.07953,0,0,6,6,29,14,3,15,11,1,2,0,0,0,0,0,0,29,14,22,1,0,6,7,25,4,0,1,5,1,2,0,0,0,0.363636364,17.33333333,16.08908501,17.2512703,28.98324836,27.83137255,28.228,18.60832036,32.82418275,0.597701149,0.554796035,0.59487139,0.999422357,0.959702502,0.97337931,0.641666219,1.131868371,14.03,0.206896552,3,0,31.075895,19.362105,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.214285714,1.9293,56.7255,193.5872162,193.1102787,6.658975128,92.32
4_N1,4,CN(C)C1=CC=CC=C1,N,99.0463,7,3,5.134694834,-0.37766,-0.3294,-0.13335,-0.12484,-0.06227,0,0,0,0,0,0,6,6,20,9,1,11,8,1,0,0,0,0,0,0,0,20,9,14,0,0,6,6,17,3,0,0,6,0,0,0,0,0,0.25,11,10.08933478,11.73801649,19.54624909,18.68235294,18.908,13.05073234,22.57483131,0.55,0.504466739,0.586900824,0.977312454,0.934117647,0.9454,0.652536617,1.128741566,9.01,0.3,1,0,21.794723,12.745277,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.111111111,1.7526,40.769,126.7552655,121.0891494,6.054457468,109.16
5_N1,5,CC1=CC=C(C=C1)N(C)C,N,103.8955985,7,3,5.008877544,-0.37766,-0.32938,-0.13281,-0.11839,-0.04412,-0.08389,0,0,0,0,0,6,6,23,10,1,13,9,1,0,0,0,0,0,0,0,23,10,17,0,0,6,6,20,3,0,0,5,1,1,0,0,0,0.333333333,12.33333333,11.25718092,13.27984429,22.43408594,21.40784314,21.668,14.84928683,25.99012096,0.536231884,0.489442649,0.577384534,0.975395041,0.930775789,0.942086957,0.645621166,1.130005259,10.01,0.260869565,1,0,24.798309,14.751691,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.1,2.06102,45.506,144.0512508,135.1047994,5.874121714,111.17
