Name,LB,SMI,Atomic_Symbol,DFT_BF3_Affinity,Atomic_Number,Degree,Free_SASA,Atomic_Charge,Radial_Charge_1,Radial_Charge_2,Radial_Charge_3,Radial_Charge_4,Radial_Charge_5,Radial_Charge_6,Radial_Charge_7,Radial_Charge_8,Radial_Charge_9,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nHetero,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n5Ring,n6Ring,nHRing,n5HRing,n6HRing,naRing,n6aRing,naHRing,n6aHRing,nARing,n5ARing,n6ARing,nAHRing,n5AHRing,n6AHRing,nFRing,nFARing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW
1_N1,1,C(#N)O,N,46.525793,7,1,17.39506713,-0.15042,0.13277,-0.31006,0,0,0,0,0,0,0,0,0,0,4,3,2,1,1,1,1,0,0,0,0,0,0,3,2,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3.666666667,3.582133045,2.743676572,4.437727604,4.403921569,4.508,2.538199401,4.707769154,0.916666667,0.895533261,0.685919143,1.109431901,1.100980392,1.127,0.63454985,1.176942288,2.02,0,2,1,4.238793,1.573207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16002,7.5488,40.36651383,43.00581365,10.75145341
1_O1,1,C(#N)O,O,-2.093216,8,2,10.97883187,-0.44283,0.15042,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,1,1,1,0,0,0,0,0,0,3,2,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3.666666667,3.582133045,2.743676572,4.437727604,4.403921569,4.508,2.538199401,4.707769154,0.916666667,0.895533261,0.685919143,1.109431901,1.100980392,1.127,0.63454985,1.176942288,2.02,0,2,1,4.238793,1.573207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16002,7.5488,40.36651383,43.00581365,10.75145341
2_O1,2,C(=O)N,O,87.698884,8,1,17.17094895,-0.27915,-0.07512,-0.31764,0,0,0,0,0,0,0,0,0,0,6,3,2,3,1,1,1,0,0,0,0,0,0,5,2,4,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,4,3.749979186,3.285504376,6.325564457,6.129411765,6.268,3.336753892,7.123058799,0.666666667,0.624996531,0.547584063,1.054260743,1.021568627,1.044666667,0.556125649,1.187176467,2.02,0,1,1,5.572379,3.307621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8985,10.2514,43.00297277,45.02146372,7.503577286
2_N1,2,C(=O)N,N,28.304823,7,3,3.743491685,-0.37226,0.1494,0,0,0,0,0,0,0,0,0,0,0,6,3,2,3,1,1,1,0,0,0,0,0,0,5,2,4,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,4,3.749979186,3.285504376,6.325564457,6.129411765,6.268,3.336753892,7.123058799,0.666666667,0.624996531,0.547584063,1.054260743,1.021568627,1.044666667,0.556125649,1.187176467,2.02,0,1,1,5.572379,3.307621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8985,10.2514,43.00297277,45.02146372,7.503577286
3_N1,3,C(#N)C#N,N,3.6750075,7,1,17.33122891,-0.18063,0,0.18063,0,0,0,0,0,0,0,0,0,0,4,4,2,0,2,2,0,0,0,0,0,0,0,3,3,1,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,4.333333333,4.332362001,3.515927132,4.32629279,4.384313725,4.456,3.317365269,4.581476515,1.083333333,1.0830905,0.878981783,1.081573197,1.096078431,1.114,0.829341317,1.145369129,3.02,0,2,0,5.54,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03356,11.226,54.5961148,52.006148,13.001537
3_N2,3,C(#N)C#N,N,3.656629,7,1,17.33122854,-0.18063,0,0.18063,0,0,0,0,0,0,0,0,0,0,4,4,2,0,2,2,0,0,0,0,0,0,0,3,3,1,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,4.333333333,4.332362001,3.515927132,4.32629279,4.384313725,4.456,3.317365269,4.581476515,1.083333333,1.0830905,0.878981783,1.081573197,1.096078431,1.114,0.829341317,1.145369129,3.02,0,2,0,5.54,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03356,11.226,54.5961148,52.006148,13.001537
4_O1,4,C(=O)C#N,O,12.289273,8,1,17.58974821,-0.28634,-0.06734,0.18951,0,0,0,0,0,0,0,0,0,0,5,4,2,1,2,1,1,0,0,0,0,0,0,4,3,2,1,1,0,2,2,1,1,1,0,0,0,0,0,0,0,4.666666667,4.582133045,3.743676572,5.437727604,5.403921569,5.508,3.538199401,5.707769154,0.933333333,0.916426609,0.748735314,1.087545521,1.080784314,1.1016,0.70763988,1.141553831,3.02,0,2,0,5.908793,2.441207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29112,11.677,55.0260401,55.00581365,11.00116273
4_N1,4,C(=O)C#N,N,23.1194605,7,1,17.39630924,-0.18951,-0.05462,0.16438,0,0,0,0,0,0,0,0,0,0,5,4,2,1,2,1,1,0,0,0,0,0,0,4,3,2,1,1,0,2,2,1,1,1,0,0,0,0,0,0,0,4.666666667,4.582133045,3.743676572,5.437727604,5.403921569,5.508,3.538199401,5.707769154,0.933333333,0.916426609,0.748735314,1.087545521,1.080784314,1.1016,0.70763988,1.141553831,3.02,0,2,0,5.908793,2.441207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29112,11.677,55.0260401,55.00581365,11.00116273
5_N1,5,CNC#N,N,32.678906,7,3,4.432748382,-0.32691,0.03442,0,0,0,0,0,0,0,0,0,0,0,8,4,2,4,2,2,0,0,0,0,0,0,0,7,3,6,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0.5,5,4.668054284,4.59958274,8.101966497,7.835294118,7.976,4.914474251,9.412055807,0.625,0.583506785,0.574947842,1.012745812,0.979411765,0.997,0.614309281,1.176506976,3.02,0,2,1,8.207172,5.152828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31312,14.6727,59.8690327,56.03744813,7.004681016
5_N2,5,CNC#N,N,66.810406,7,1,17.38162479,-0.17297,0.00274,-0.32416,-0.13855,0,0,0,0,0,0,0,0,0,8,4,2,4,2,2,0,0,0,0,0,0,0,7,3,6,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0.5,5,4.668054284,4.59958274,8.101966497,7.835294118,7.976,4.914474251,9.412055807,0.625,0.583506785,0.574947842,1.012745812,0.979411765,0.997,0.614309281,1.176506976,3.02,0,2,1,8.207172,5.152828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31312,14.6727,59.8690327,56.03744813,7.004681016
